date,home_team,away_team,home_score,away_score,hc_line,hc_home,hc_away,ou_line,over,under
2018-06-02 23:30:00,New York City,Orlando City,3,0,-1.25,2.02,1.88,+3.25,1.88,2.0
2018-06-02 23:30:00,New England Revolution,New York Red Bulls,2,1,0,2.1100000000000003,1.81,+3,2.02,1.8599999999999999
2018-06-02 23:30:00,Columbus Crew,Toronto FC,3,3,-0.5,2.08,1.83,+2.75,1.96,1.92
2018-06-02 23:30:00,Club de Foot Montreal,Houston Dynamo,1,0,-0.75,2.0,1.9,+3,1.96,1.9300000000000002
2018-06-02 23:30:00,Atlanta Utd,Philadelphia Union,3,1,-1.25,1.85,2.05,+3,1.81,2.0700000000000003
2018-06-03 00:00:00,FC Dallas,Los Angeles FC,2,1,-0.75,1.9,2.0,+3,1.9300000000000002,1.95
2018-06-03 00:30:00,Chicago Fire,San Jose Earthquakes,2,1,-0.5,1.9100000000000001,1.99,+3,1.94,1.94
2018-06-03 01:30:00,Real Salt Lake,Seattle Sounders,2,0,-0.25,2.0700000000000003,1.8399999999999999,+2.5,1.8399999999999999,2.04
2018-06-04 00:30:00,Sporting Kansas City,Minnesota United,4,1,-1.5,1.97,1.9300000000000002,+3,1.83,2.06
2018-06-09 00:00:00,Philadelphia Union,Toronto FC,0,2,-0.25,1.98,1.92,+2.75,1.8399999999999999,2.04
2018-06-09 16:30:00,New York City,Atlanta Utd,1,1,-0.25,2.02,1.88,+3.25,2.0,1.88
2018-06-09 21:00:00,Columbus Crew,New York Red Bulls,1,1,-0.5,1.88,2.0300000000000002,+2.75,1.8199999999999998,2.06
2018-06-09 23:00:00,Vancouver Whitecaps,Orlando City,5,2,-0.75,1.95,1.95,+3,1.88,2.0
2018-06-10 00:00:00,FC Dallas,Club de Foot Montreal,2,0,-1.25,1.94,1.95,+3,1.9,1.98
2018-06-10 00:30:00,Chicago Fire,New England Revolution,1,1,-0.5,2.05,1.85,+3,1.9100000000000001,1.97
2018-06-10 01:00:00,Houston Dynamo,Colorado Rapids,2,0,-1.25,1.98,1.92,+2.75,1.83,2.06
2018-06-10 02:00:00,Seattle Sounders,DC United,2,1,-0.75,1.87,2.0300000000000002,+2.5,1.97,1.9100000000000001
2018-06-10 02:30:00,San Jose Earthquakes,Los Angeles FC,3,4,0,2.01,1.8900000000000001,+3,1.8199999999999998,2.06
2018-06-10 02:30:00,Los Angeles Galaxy,Real Salt Lake,3,0,-0.75,1.83,2.0700000000000003,+3.25,2.05,1.83
2018-06-10 02:30:00,Portland Timbers,Sporting Kansas City,0,0,-0.25,2.0700000000000003,1.83,+2.75,1.97,1.9100000000000001
2018-06-13 23:30:00,Columbus Crew,Atlanta Utd,0,2,-0.5,2.0300000000000002,1.87,+2.75,1.85,2.0300000000000002
2018-06-13 23:30:00,Club de Foot Montreal,Orlando City,3,0,-0.75,1.95,1.95,+3,1.88,1.99
2018-06-14 00:00:00,New York Red Bulls,Seattle Sounders,2,1,-1,2.0300000000000002,1.88,+2.5,1.9300000000000002,1.95
2018-06-14 00:00:00,Toronto FC,DC United,4,4,-1,2.0700000000000003,1.83,+3,1.9100000000000001,1.97
2018-06-14 01:00:00,Colorado Rapids,Chicago Fire,2,2,-0.25,1.88,2.01,+2.5,2.02,1.8599999999999999
2018-06-14 02:30:00,San Jose Earthquakes,New England Revolution,2,2,-0.25,1.94,1.96,+3,2.0300000000000002,1.85
2018-06-23 21:00:00,Philadelphia Union,Vancouver Whitecaps,4,0,-0.75,1.97,1.9300000000000002,+3,1.97,1.92
2018-06-23 22:00:00,New York Red Bulls,FC Dallas,3,0,-0.75,1.97,1.9300000000000002,+2.75,1.88,2.0
2018-06-23 23:30:00,Orlando City,Club de Foot Montreal,0,2,-0.5,2.02,1.88,+3,1.95,1.9300000000000002
2018-06-24 00:30:00,Sporting Kansas City,Houston Dynamo,3,2,-0.5,1.9,2.0,+2.75,1.9,1.98
2018-06-24 01:00:00,Colorado Rapids,Minnesota United,3,2,-0.5,1.85,2.05,+2.75,1.9100000000000001,1.97
2018-06-24 02:00:00,Real Salt Lake,San Jose Earthquakes,1,1,-1,2.05,1.85,+3.25,2.01,1.87
2018-06-24 02:00:00,Seattle Sounders,Chicago Fire,1,1,-1,2.02,1.88,+2.75,2.02,1.8599999999999999
2018-06-24 02:30:00,Los Angeles FC,Columbus Crew,2,0,-0.25,2.06,1.8399999999999999,+2.75,1.8199999999999998,2.0700000000000003
2018-06-24 20:30:00,Atlanta Utd,Portland Timbers,1,1,-1,1.88,2.0300000000000002,+3.25,1.9300000000000002,1.95
2018-06-24 21:00:00,New York City,Toronto FC,2,1,-0.75,2.01,1.8900000000000001,+3.25,1.96,1.92
2018-06-30 00:00:00,Minnesota United,FC Dallas,0,1,+0.25,1.96,1.9300000000000002,+3,2.0,1.88
2018-06-30 20:30:00,Seattle Sounders,Portland Timbers,2,3,-0.25,1.99,1.9100000000000001,+2.5,1.95,1.9300000000000002
2018-06-30 23:00:00,Club de Foot Montreal,Sporting Kansas City,2,0,0,2.1,1.81,+2.75,1.99,1.8900000000000001
2018-06-30 23:00:00,Atlanta Utd,Orlando City,4,0,-1.75,1.97,1.9300000000000002,+3.5,1.96,1.92
2018-06-30 23:30:00,Columbus Crew,Real Salt Lake,2,1,-1,2.0300000000000002,1.87,+3,1.97,1.92
2018-06-30 23:30:00,New England Revolution,DC United,3,2,-0.75,1.9300000000000002,1.98,+3.25,2.06,1.8199999999999998
2018-07-01 00:00:00,Los Angeles FC,Philadelphia Union,4,1,-0.75,1.83,2.08,+3,1.9,1.98
2018-07-01 00:00:00,Chicago Fire,New York City,3,2,0,1.9300000000000002,1.97,+3,1.94,1.94
2018-07-01 02:00:00,San Jose Earthquakes,Los Angeles Galaxy,3,3,0,1.96,1.94,+3,1.96,1.92
2018-07-01 20:30:00,Toronto FC,New York Red Bulls,0,1,-0.25,2.0700000000000003,1.83,+3,1.9,1.98
2018-07-01 23:00:00,Vancouver Whitecaps,Colorado Rapids,0,1,-0.75,1.96,1.94,+2.75,1.8900000000000001,1.98
